20.07.06 08:00:47: root: DEBUG  : ColumnA ColumnB ColumnC ColumnD
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.055 0.615
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.3657 0.3181
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 5.4104 4.7068
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.014 -0.005 1825.969107579
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.969345803
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -1.831 1825.981028275
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.027 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) -0.573
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.273 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.046
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.009 0.608
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.023 0.638
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.4128 0.4115
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 6.116 6.0961
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.0 1826.036547786
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1826.036804841
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 1.77 1826.041200944
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.044 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) -0.573
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.256 vectorDirection(deg) 0.1
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.054
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) -0.005 0.603
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) -0.005 0.633
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.4261 0.4681
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 6.2902 6.9101
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.018 0.005 1826.104375368
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1826.104637048
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 7.385 1826.111122088
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.062 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) -0.286
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.238 vectorDirection(deg) 0.1
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) -0.009 0.594
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) -0.021 0.612
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.4006 0.4473
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 5.9892 6.6888
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.017 0.005 1826.172837172
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1826.173103351
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 4.028 1826.181149471
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.079 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.221 vectorDirection(deg) 0.1
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) -0.003 0.592
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) -0.017 0.596
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.4105 0.4203
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 6.0056 6.1487
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.017 0.001 1826.239381394
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1826.240385326
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 7.935 1826.251194061
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.096 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.057
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.204 vectorDirection(deg) 0.1
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.047
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) -0.003 0.589
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) -0.006 0.59
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.069
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.3597 0.3787
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 5.2284 5.5043
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.015 0.002 1826.308798052
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1826.309103144
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 1.465 1826.311016768
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.111 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.172
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.189 vectorDirection(deg) 0.1
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.056
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) 0.013 0.601
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.007 0.597
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.3753 0.3451
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 5.4851 5.0451
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.003 1826.37674533
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.37699572
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) -4.272 1826.381221633
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.126 global_y(m) -0.0
20.07.06 08:00:49: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.174 vectorDirection(deg) 0.1
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.054
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) 0.007 0.608
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.016 0.613
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4019 0.3256
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 5.9018 4.7811
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.009 1826.445319333
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.445565181
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) -8.545 1826.451356714
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.141 global_y(m) -0.0
20.07.06 08:00:49: root: DEBUG  : heading(deg) -0.516
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.159 vectorDirection(deg) 0.2
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.052
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.001 0.607
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.021 0.634
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4236 0.3292
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.2716 4.8747
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.011 1826.512771707
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.513028179
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) -7.324 1826.521138543
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.156 global_y(m) -0.001
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.146
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.144 vectorDirection(deg) 0.3
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.008 0.599
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.02 0.654
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4439 0.3613
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.6138 5.3825
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.009 1826.579753134
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.580413062
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) -4.272 1826.590911789
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.173 global_y(m) -0.001
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.662
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.127 vectorDirection(deg) 0.5
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.047
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.015 0.584
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.009 0.663
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4387 0.4272
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.5216 6.3506
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.018 -0.001 1826.646607657
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.646838882
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 3.418 1826.651363221
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.191 global_y(m) -0.002
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.719
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.109 vectorDirection(deg) 0.9
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.013 0.571
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) -0.01 0.653
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4341 0.4723
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.3969 6.9592
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.019 0.004 1826.714468112
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.714690505
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 7.141 1826.721079223
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.21 global_y(m) -0.002
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.49
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.09 vectorDirection(deg) 1.4
20.07.06 08:00:49: root: DEBUG  : CurveFlip 0
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:49: root: DEBUG  : SETTLE 1826.775081902
20.07.06 08:00:49: root: DEBUG  : Log_completed 1826.775426989
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.4144 0.4316
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.2165 6.4754
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.004
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.0268 0.0268
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.1467 6.1467
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.001 0.0 1826.785679534
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.785910009
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 2.747 1826.791104358
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.211 global_y(m) -0.002
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.49
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.579 vectorDirection(deg) 60.1
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : START_CURVING 1826.793275121
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.076 0.494
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.064 0.718
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.013
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.0813 0.083
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 6.0576 6.1862
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.003 0.0 1826.798883132
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.799112524
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 3.113 1826.801035689
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.214 global_y(m) -0.002
20.07.06 08:00:49: root: DEBUG  : heading(deg) -1.49
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.578 vectorDirection(deg) 60.3
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.056
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.074 0.42
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.064 0.781
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.3662 0.4834
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 5.4519 7.196
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.017 0.013 1826.866216812
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.866434205
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 16.418 1826.871484694
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.231 global_y(m) -0.003
20.07.06 08:00:49: root: DEBUG  : heading(deg) -0.745
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.57 vectorDirection(deg) 61.8
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.062 0.358
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.043 0.825
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.2997 0.5568
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 4.4115 8.1964
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.018 0.029 1826.934196171
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1826.934421604
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 26.794 1826.941171033
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.249 global_y(m) -0.003
20.07.06 08:00:49: root: DEBUG  : heading(deg) 0.917
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.562 vectorDirection(deg) 63.5
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.041 0.316
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.023 0.848
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.2498 0.5889
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 3.7509 8.8404
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.017 0.039 1827.001929973
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1827.00217503
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 36.194 1827.011158964
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.266 global_y(m) -0.002
20.07.06 08:00:49: root: DEBUG  : heading(deg) 3.151
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.554 vectorDirection(deg) 65.0
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.048
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
20.07.06 08:00:49: root: DEBUG  : EffortLeft(duty) -0.028 0.288
20.07.06 08:00:49: root: DEBUG  : EffortRight(duty) 0.011 0.859
20.07.06 08:00:49: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:49: root: DEBUG  : Wheel_Increments(rad) 0.2215 0.6401
20.07.06 08:00:49: root: DEBUG  : Wheel_Speeds(rad/s) 3.2629 9.43
20.07.06 08:00:49: root: DEBUG  : Chassis_Increment(m,rad) 0.018 0.048 1827.068678883
20.07.06 08:00:49: root: DEBUG  : TimeStamp(s) 1827.068929397
20.07.06 08:00:49: root: DEBUG  : Gyro_raw(deg/s) 41.443 1827.071087495
20.07.06 08:00:49: root: DEBUG  : global_x(m) 0.284 global_y(m) -0.001
20.07.06 08:00:49: root: DEBUG  : heading(deg) 5.901
20.07.06 08:00:49: root: DEBUG  : vectorLength(m) 0.545 vectorDirection(deg) 66.7
20.07.06 08:00:49: root: DEBUG  : CurveFlip 1
20.07.06 08:00:49: root: DEBUG  : sleepTime(s) 0.056
20.07.06 08:00:49: root: DEBUG  : PhiSetPoints(rad/s) 2.341 9.366
